,id,pid,ms_subclass,ms_zoning,lot_frontage,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,year_built,year_remod/add,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_yr_blt,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,log_saleprice,saleprice
10,2482,531452100,120,RL,50.0,7175,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1991,1991,Gable,CompShg,Plywood,Plywood,None,0.0,Gd,TA,PConc,4,TA,1,GLQ,278,Unf,0,939,1217,GasA,4,Y,SBrkr,1217,0,0,1217,0,0,2,0,2,1,4,5,8,0,,Attchd,1991.0,RFn,2,484,TA,TA,3,0,64,0,0,0,0,,,,0,6,2006,WD ,17.292959259575674,160583.0
11,1364,903455140,30,RM,60.0,7200,Pave,,Reg,Lvl,AllPub,Corner,Gtl,IDOTRR,Norm,Norm,1Fam,1Story,6,7,1925,1992,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,3,TA,1,Unf,0,Unf,0,1040,1040,GasA,4,Y,SBrkr,1040,0,0,1040,0,0,1,0,2,1,3,5,8,0,,Detchd,1993.0,Unf,2,320,TA,TA,3,0,132,0,0,0,0,,,,0,7,2008,WD ,16.998375969126336,130925.0
12,2584,535303050,20,RL,75.0,11310,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1954,1954,Hip,CompShg,Wd Sdng,BrkFace,None,0.0,TA,TA,CBlock,3,TA,1,Unf,0,Unf,0,1367,1367,GasA,5,Y,SBrkr,1375,0,0,1375,0,0,1,0,2,1,3,5,8,1,TA,Attchd,1954.0,Unf,2,451,TA,TA,3,0,30,0,0,0,0,,,,0,6,2006,WD ,17.142262344190865,144656.0
13,818,906230030,90,RL,,7976,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Feedr,Norm,Duplex,2Story,7,5,2000,2000,Hip,CompShg,VinylSd,VinylSd,BrkFace,23.0,TA,TA,PConc,5,TA,1,GLQ,820,Unf,0,348,1168,GasA,5,Y,SBrkr,1168,1619,0,2787,2,0,4,2,6,2,3,8,8,2,TA,BuiltIn,2000.0,Fin,4,820,TA,TA,3,312,0,0,0,0,0,,,,0,10,2009,WD ,18.215567736214783,304391.0
14,2673,903206160,70,RL,69.0,11737,Pave,,IR1,Bnk,AllPub,Inside,Gtl,BrkSide,Norm,Norm,1Fam,2Story,6,7,1924,1996,Gambrel,CompShg,BrkComm,Stucco,None,0.0,TA,TA,BrkTil,3,TA,1,Unf,0,Unf,0,848,848,GasW,3,N,SBrkr,1017,810,0,1827,0,0,1,0,2,1,3,9,8,1,Gd,Detchd,1943.0,Unf,1,240,Fa,TA,3,27,36,42,0,0,0,,GdPrv,,0,5,2006,WD ,17.400789305707278,173045.0
15,2089,905480180,20,RL,60.0,9060,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Artery,Norm,1Fam,1Story,5,6,1957,2006,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,98.0,TA,TA,PConc,0,,0,,0,,0,0,0,GasA,5,Y,SBrkr,1340,0,0,1340,0,0,1,0,3,1,3,7,8,1,Gd,Attchd,1957.0,RFn,1,252,TA,TA,3,116,0,0,180,0,0,,MnPrv,,0,6,2007,WD ,16.873364973832953,120057.0
16,1297,902128150,190,RM,60.0,10800,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,2fmCon,1.5Fin,6,6,1940,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,CBlock,3,TA,1,BLQ,590,Unf,0,294,884,GasA,3,Y,SBrkr,884,552,0,1436,0,0,2,0,3,2,3,8,8,2,Gd,Detchd,1940.0,Unf,2,828,TA,TA,3,0,0,126,0,0,0,,,,0,5,2008,Con,17.03105037368241,133924.0
17,790,905451300,20,RL,68.0,9571,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,5,1956,1956,Hip,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,3,TA,1,Rec,257,Unf,0,816,1073,GasA,3,Y,FuseA,1073,0,0,1073,1,0,1,0,2,1,3,5,8,0,,Attchd,1956.0,Unf,1,340,TA,TA,3,0,0,0,0,0,0,,GdPrv,,0,2,2009,WD ,16.73957724345997,109425.0
18,2616,535425040,20,RL,80.0,10800,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,PosA,Norm,1Fam,1Story,6,6,1961,1992,Gable,CompShg,HdBoard,HdBoard,BrkFace,104.0,TA,TA,CBlock,3,TA,1,Rec,913,Unf,0,400,1313,GasA,3,Y,SBrkr,1773,0,0,1773,1,0,2,0,3,1,3,6,6,2,TA,Attchd,1961.0,RFn,2,418,TA,TA,3,355,98,0,0,144,0,,,,0,8,2006,WD ,17.572668398964712,194940.0
19,720,902330040,70,RM,121.0,17671,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,8,9,1882,1986,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Gd,Gd,BrkTil,3,TA,1,BLQ,216,Unf,0,700,916,GasA,4,Y,SBrkr,916,826,0,1742,0,0,1,1,4,1,4,8,8,1,Gd,Attchd,1925.0,Unf,2,424,TA,TA,2,0,169,0,0,0,0,,,,0,11,2009,WD ,17.57112742970902,194732.0
20,222,905105070,20,RL,,8246,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,8,1968,2001,Gable,CompShg,Plywood,Plywood,None,0.0,TA,Gd,CBlock,3,TA,2,Rec,188,ALQ,668,204,1060,GasA,5,Y,SBrkr,1060,0,0,1060,1,0,1,0,3,1,4,6,8,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,3,406,90,0,0,0,0,,MnPrv,,0,5,2010,WD ,17.10764477004084,141226.0
21,557,532354160,20,RL,,8499,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,3,TA,1,GLQ,660,Unf,0,204,864,GasA,5,Y,SBrkr,864,0,0,864,1,0,1,0,3,1,3,5,8,0,,Detchd,1982.0,Unf,2,732,TA,TA,3,0,312,0,0,0,0,,,,0,6,2009,WD ,16.869008382267154,119695.0
22,1148,531451020,120,RL,50.0,8012,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,Norm,Norm,TwnhsE,1Story,6,5,1993,1994,Gable,CompShg,Plywood,Plywood,None,0.0,Gd,TA,PConc,4,TA,1,LwQ,165,GLQ,841,598,1604,GasA,5,Y,SBrkr,1617,0,0,1617,1,0,2,0,2,1,4,5,8,1,Fa,Attchd,1993.0,RFn,2,533,TA,TA,3,0,69,0,0,0,0,,,,0,7,2008,WD ,17.528468103679973,189058.0
23,2766,906475050,80,RL,,21453,Pave,,IR1,Low,AllPub,CulDSac,Sev,ClearCr,Norm,Norm,1Fam,SLvl,6,5,1969,1969,Flat,Metal,Plywood,Plywood,None,0.0,TA,TA,CBlock,3,TA,4,ALQ,938,Unf,0,0,938,GasA,5,Y,SBrkr,988,0,0,988,1,0,1,0,1,1,3,4,8,2,TA,Attchd,1969.0,Unf,2,540,TA,TA,3,0,130,0,130,0,0,,,,0,10,2006,WD ,17.24777736201892,155632.0
24,534,531363010,20,RL,80.0,9605,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,7,6,2007,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,TA,1,Unf,0,Unf,0,1218,1218,GasA,5,Y,SBrkr,1218,0,0,1218,0,0,1,1,3,1,4,6,8,0,,Detchd,2007.0,RFn,2,576,TA,TA,3,0,178,0,0,0,0,,,,0,4,2009,WD ,17.479808108880217,182788.0
25,1452,907227050,20,RL,60.0,7180,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,1972,1972,Hip,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,3,TA,3,ALQ,390,Unf,0,474,864,GasA,3,Y,SBrkr,864,0,0,864,0,0,1,0,3,1,3,5,8,0,,Detchd,1989.0,Unf,1,352,TA,TA,3,0,0,0,0,0,0,,,,0,5,2008,WD ,16.846997661027917,117883.0
26,630,535150070,50,RL,,12513,Pave,,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Feedr,Norm,1Fam,1.5Fin,4,4,1920,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,Gd,BrkTil,3,Fa,1,Unf,0,Unf,0,715,715,GasA,4,Y,SBrkr,1281,457,0,1738,0,0,2,0,4,1,3,7,8,1,Gd,Attchd,1920.0,Unf,1,368,TA,TA,3,55,0,0,0,0,0,,,,0,6,2009,WD ,17.03229974979029,134040.0
27,2648,902125020,70,RM,50.0,9000,Pave,Grvl,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Artery,Norm,1Fam,2Story,5,6,1880,1991,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,BrkTil,2,Fa,1,Unf,0,Unf,0,636,636,GasA,3,Y,FuseA,1089,661,0,1750,0,0,1,0,3,1,5,8,8,0,,Detchd,1937.0,Unf,1,240,Fa,Po,1,0,0,293,0,0,0,,MnPrv,,0,6,2006,WD ,16.794047159914694,113635.0
28,125,534425310,85,RL,80.0,8800,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,SFoyer,6,7,1963,1963,Gable,CompShg,MetalSd,MetalSd,BrkFace,156.0,TA,Gd,PConc,3,TA,4,GLQ,763,Unf,0,173,936,GasA,5,Y,SBrkr,1054,0,0,1054,1,0,1,0,3,1,4,6,8,0,,Attchd,1963.0,RFn,2,480,TA,TA,3,120,0,0,0,0,0,,MnPrv,,0,5,2010,WD ,17.364621821722046,168761.0
29,1904,534451020,50,RL,51.0,3500,Pave,,Reg,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,Norm,1Fam,1.5Fin,3,5,1945,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,3,TA,1,LwQ,144,Unf,0,226,370,GasA,3,N,FuseA,442,228,0,670,1,0,1,0,2,1,2,4,8,0,,,,,0,0,,,1,0,21,0,0,0,0,,MnPrv,Shed,2000,7,2007,WD ,15.941057901713508,62912.0
30,1670,527404150,20,RL,,7340,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,6,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,3,TA,1,ALQ,322,Unf,0,536,858,GasA,3,Y,SBrkr,858,0,0,858,0,0,1,0,2,1,3,4,8,0,,Detchd,1979.0,Unf,1,684,TA,TA,3,0,0,0,0,0,0,,,,0,6,2007,WD ,16.620952279536844,100787.0
31,756,903458170,30,RM,52.0,6240,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,4,5,1925,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,3,TA,1,BLQ,152,Unf,0,628,780,GasA,3,Y,FuseA,848,0,360,1208,0,0,1,0,2,1,3,5,8,0,,Detchd,1962.0,Unf,2,539,TA,TA,3,0,23,112,0,0,0,,,,0,1,2009,WD ,16.63313003562821,101641.0
32,717,902326030,70,RM,65.0,11700,Pave,Pave,IR1,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,2Story,7,7,1880,2003,Mansard,CompShg,Stucco,Stucco,None,0.0,Gd,TA,Stone,3,Fa,1,Unf,0,Unf,0,1240,1240,GasW,3,N,SBrkr,1320,1320,0,2640,0,0,1,1,4,1,4,8,8,1,Gd,Detchd,1950.0,Unf,4,864,TA,TA,1,181,0,386,0,0,0,,,,0,5,2009,WD ,17.637968973776687,203966.0
33,1032,527378020,20,RL,80.0,10000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,5,6,1973,2000,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,4,TA,1,BLQ,1084,Unf,0,92,1176,GasA,4,Y,SBrkr,1178,0,0,1178,0,1,1,1,3,1,4,5,8,1,Fa,Attchd,1973.0,Unf,2,439,TA,TA,3,224,0,0,0,0,0,,MnPrv,,0,11,2008,WD ,17.28205338205032,159374.0
34,852,907196060,20,RL,75.0,11166,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2001,2001,Gable,CompShg,VinylSd,VinylSd,BrkFace,180.0,Gd,TA,PConc,4,TA,2,GLQ,24,Unf,0,1468,1492,GasA,5,Y,SBrkr,1492,0,0,1492,0,0,2,0,3,1,4,6,8,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,3,0,114,0,0,168,0,,,,0,7,2009,WD ,17.662731975728484,207497.0
35,1731,528218100,60,RL,58.0,13204,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,RRAn,Norm,1Fam,2Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,44.0,TA,TA,PConc,4,TA,1,Unf,0,Unf,0,608,608,GasA,5,Y,SBrkr,608,850,0,1458,0,0,2,0,3,1,4,6,8,0,,BuiltIn,2007.0,Fin,2,454,TA,TA,3,100,33,0,0,0,0,,,,0,5,2007,New,17.537564629678123,190254.0
36,2639,902103090,50,RM,60.0,5520,Pave,,Reg,Lvl,AllPub,Corner,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,4,6,1920,1980,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,TA,PConc,3,Fa,1,LwQ,284,Unf,0,863,1147,GasA,3,N,SBrkr,1147,510,0,1657,0,0,1,0,4,1,2,9,8,1,TA,Detchd,1920.0,Unf,1,162,Fa,Fa,1,0,0,0,0,0,0,,,,0,7,2006,WD ,16.81375772582698,115198.0
37,2071,905228020,20,RL,,9000,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,4,7,1945,1950,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,Fa,TA,Slab,0,,0,,0,,0,0,0,GasA,3,N,FuseA,998,0,0,998,0,0,1,0,3,1,3,5,6,0,,2Types,1952.0,Unf,2,460,Fa,TA,3,0,0,140,0,0,0,,,,0,5,2007,WD ,16.453696122445294,89754.0
38,1267,535451010,20,RL,74.0,8892,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,1996,Gable,CompShg,WdShing,Wd Shng,None,0.0,Gd,TA,Stone,3,TA,3,Unf,0,Unf,0,105,105,GasA,4,Y,SBrkr,910,0,0,910,0,0,1,0,3,1,4,5,8,0,,Attchd,1953.0,Unf,2,414,TA,TA,3,196,0,150,0,0,0,,GdWo,,0,10,2008,WD ,16.951799213870352,126765.0
39,1851,533242080,20,FV,73.0,7321,Pave,Pave,IR1,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,1999,2000,Gable,CompShg,CemntBd,CmentBd,None,0.0,Gd,TA,PConc,4,TA,1,Unf,0,Unf,0,1339,1339,GasA,5,Y,SBrkr,1358,0,0,1358,0,0,2,0,3,1,4,5,8,0,,Detchd,1999.0,Unf,2,625,TA,TA,3,176,174,0,0,0,0,,,,0,12,2007,COD,17.46240972991901,180596.0
40,567,533210010,160,FV,40.0,3951,Pave,Pave,Reg,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,6,5,2009,2009,Gable,CompShg,VinylSd,VinylSd,Stone,76.0,Gd,TA,PConc,4,TA,3,Unf,0,Unf,0,612,612,GasA,5,Y,SBrkr,612,612,0,1224,0,0,2,1,2,1,4,4,8,0,,Detchd,2009.0,RFn,2,528,TA,TA,3,0,234,0,0,0,0,,,,0,6,2009,New,17.28566909474719,159774.0
41,2439,528280100,60,RL,,11214,Pave,,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1998,1999,Gable,CompShg,VinylSd,VinylSd,None,0.0,Gd,TA,PConc,4,TA,1,Unf,0,Unf,0,930,930,GasA,4,Y,SBrkr,956,930,0,1886,0,0,2,1,4,1,4,10,8,1,TA,Attchd,1998.0,Fin,2,431,TA,TA,3,89,0,0,0,0,0,,,,0,7,2006,WD ,17.62184676260062,201699.0
42,1898,534427140,20,RL,75.0,7388,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,2002,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,3,TA,1,Rec,405,Unf,0,658,1063,GasA,4,Y,SBrkr,1327,0,0,1327,1,0,1,0,3,1,4,7,8,0,,Detchd,1974.0,Unf,2,624,TA,TA,3,0,0,0,0,0,0,,,,0,7,2007,WD ,17.21533991365899,152172.0
43,647,535351050,20,RL,75.0,14559,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,70.0,Gd,TA,CBlock,3,TA,1,BLQ,650,Rec,180,178,1008,GasA,5,Y,SBrkr,1363,0,0,1363,1,0,1,0,2,1,3,6,7,2,TA,CarPort,1951.0,Unf,1,288,TA,TA,3,324,42,0,0,168,0,,,Shed,2000,6,2009,WD ,17.349489297475415,167000.0
44,2256,916226090,120,RL,46.0,4054,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,TwnhsE,1Story,7,6,1987,1987,Gable,CompShg,VinylSd,VinylSd,BrkFace,352.0,Gd,TA,BrkTil,4,TA,3,GLQ,949,Unf,0,552,1501,GasA,5,Y,SBrkr,1501,0,0,1501,1,0,2,0,2,1,4,5,8,2,TA,Attchd,1987.0,Fin,2,512,TA,TA,3,240,0,0,0,0,0,,,,0,10,2007,WD ,17.649258720973894,205568.0
45,979,923228150,160,RM,21.0,1533,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,Twnhs,2Story,4,6,1970,2008,Gable,CompShg,CemntBd,CmentBd,None,0.0,TA,TA,CBlock,3,TA,1,Unf,0,Unf,0,546,546,GasA,3,Y,SBrkr,798,546,0,1344,0,0,1,1,3,1,3,6,8,1,TA,,,,0,0,,,3,0,0,0,0,0,0,,,,0,5,2009,WD ,16.67135727561165,104371.0
46,1444,907196050,60,RL,68.0,11250,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,Gd,TA,PConc,4,TA,2,GLQ,486,Unf,0,434,920,GasA,5,Y,SBrkr,920,866,0,1786,1,0,2,1,3,1,4,6,8,1,TA,Attchd,2001.0,RFn,2,608,TA,TA,3,0,42,0,0,0,0,,,,0,9,2008,WD ,17.71144433502551,214623.0
47,2485,531479030,20,RH,60.0,7800,Pave,,Reg,Lvl,AllPub,Corner,Gtl,SawyerW,Norm,Norm,1Fam,1Story,5,5,1965,1965,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,TA,CBlock,3,TA,1,BLQ,641,Unf,0,187,828,GasA,4,Y,SBrkr,965,0,0,965,1,0,1,0,3,1,3,6,8,0,,Detchd,1979.0,Unf,1,300,TA,TA,3,421,0,0,0,0,0,,MnPrv,,0,7,2006,WD ,16.825387249980007,116130.0
48,157,535350040,20,RL,74.0,5868,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1956,2000,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,TA,CBlock,3,TA,1,BLQ,248,Rec,240,448,936,GasA,5,Y,SBrkr,936,0,0,936,1,0,1,0,2,1,3,4,8,0,,Attchd,1956.0,Fin,1,308,TA,TA,3,0,0,80,0,160,0,,,,0,5,2010,WD ,16.98929047093578,130103.0
49,88,532377100,20,RL,75.0,7500,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,5,1963,1963,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,TA,CBlock,3,TA,1,ALQ,824,Unf,0,216,1040,GasA,2,Y,SBrkr,1040,0,0,1040,1,0,1,1,3,1,3,5,8,0,,Attchd,1963.0,Fin,1,308,TA,TA,3,0,0,220,0,0,0,,MnPrv,,0,6,2010,WD ,16.900010406116994,122295.0
