,ques_1,ques_2,ques_3,ques_4,ques_5,ques_6,ques_7,ques_8,ques_9,ques_10,ques_11,card,return
29,Cashback,Yes,29000,public_transport,0,899,redmart,999,599,999,cashback,not_eligible,0.0
30,Cashback,Yes,89000,spc,599,599,redmart,799,899,0,cashback,uob_one,126.9633
31,Cashback,No,79000,public_transport,399,0,sheng_shiong,899,799,799,cashback,uob_one,146.9066
32,Cashback,Yes,49000,shell,999,799,cold_storage,0,799,599,cashback,uob_one,136.9766
33,Cashback,Yes,59000,shell,999,399,redmart,799,799,999,cashback,uob_one,136.9766
34,Cashback,Yes,49000,esso,899,0,ntuc,399,0,799,cashback,uob_one,67.0
35,Cashback,No,49000,caltex,799,100,redmart,100,999,399,cashback,uob_one,133.6333
36,Cashback,Yes,89000,public_transport,399,999,sheng_shiong,399,0,999,cashback,uob_one,93.6133
37,Cashback,Yes,49000,public_transport,0,399,giant,399,100,0,cashback,uob_one,41.95
38,Cashback,Yes,49000,esso,399,599,cold_storage,399,100,899,cashback,uob_one,100.2833
39,Cashback,Yes,89000,caltex,399,100,giant,399,100,0,cashback,uob_one,41.95
40,Cashback,Yes,69000,spc,899,999,ntuc,0,999,799,cashback,uob_one,133.6333
41,Cashback,Yes,69000,spc,899,799,ntuc,0,999,999,cashback,uob_one,133.6333
42,Cashback,No,79000,shell,799,0,sheng_shiong,0,599,899,cashback,uob_one,120.2966
43,Cashback,No,49000,spc,799,599,cold_storage,799,599,100,cashback,uob_one,160.2466
44,Cashback,Yes,29000,spc,999,100,sheng_shiong,999,100,999,cashback,not_eligible,0.0
45,Cashback,No,89000,esso,799,999,cold_storage,599,0,799,cashback,uob_one,106.9533
46,Cashback,No,89000,spc,799,899,ntuc,599,899,100,cashback,uob_one,126.9633
47,Cashback,Yes,79000,caltex,399,899,giant,899,0,0,cashback,uob_one,126.9633
48,Cashback,Yes,79000,caltex,799,100,cold_storage,100,399,799,cashback,uob_one,100.2833
49,Cashback,Yes,29000,shell,399,999,ntuc,399,999,799,cashback,not_eligible,0.0
50,Cashback,No,59000,public_transport,100,100,giant,799,999,399,cashback,uob_one,167.0
51,Cashback,No,49000,spc,999,799,sheng_shiong,999,999,899,cashback,uob_one,133.6333
52,Cashback,Yes,69000,caltex,899,0,giant,799,799,899,cashback,uob_one,167.0
53,Cashback,No,49000,caltex,399,799,sheng_shiong,399,0,100,cashback,posb_everyday_cashback,58.097
54,Cashback,Yes,89000,shell,399,599,sheng_shiong,799,100,100,cashback,posb_everyday_cashback,80.0
55,Cashback,Yes,49000,caltex,399,399,sheng_shiong,799,100,399,cashback,posb_everyday_cashback,80.0
56,Cashback,Yes,49000,shell,999,899,ntuc,799,999,100,cashback,uob_one,150.3166
57,Cashback,No,59000,spc,999,899,cold_storage,799,599,100,cashback,uob_one,160.2466
58,Cashback,No,49000,caltex,399,999,redmart,0,0,599,cashback,posb_everyday_cashback,61.117000000000004
59,Cashback,Yes,39000,public_transport,0,100,redmart,999,999,0,cashback,uob_one,133.6333
60,Cashback,Yes,39000,esso,899,999,redmart,899,899,899,cashback,uob_one,126.9633
61,Cashback,No,89000,spc,399,799,redmart,799,999,799,cashback,uob_one,133.6333
62,Cashback,Yes,89000,spc,399,799,cold_storage,799,100,999,cashback,uob_one,126.9633
63,Cashback,No,49000,public_transport,399,100,sheng_shiong,599,100,899,cashback,uob_one,100.2833
64,Cashback,No,49000,public_transport,100,399,sheng_shiong,999,999,100,cashback,uob_one,140.30329999999998
65,Cashback,Yes,89000,public_transport,399,599,sheng_shiong,399,399,0,cashback,uob_one,72.9
66,Cashback,Yes,49000,esso,999,799,ntuc,399,100,999,cashback,posb_everyday_cashback,78.414
67,Cashback,Yes,59000,caltex,799,100,giant,799,599,599,cashback,uob_one,160.2466
68,Cashback,Yes,89000,public_transport,100,799,cold_storage,999,999,799,cashback,uob_one,167.0
69,Cashback,Yes,89000,caltex,599,899,ntuc,999,399,899,cashback,uob_one,93.6133
70,Cashback,Yes,79000,caltex,399,899,sheng_shiong,399,100,399,cashback,posb_everyday_cashback,76.34700000000001
71,Cashback,No,59000,spc,399,599,redmart,799,0,899,cashback,posb_everyday_cashback,80.0
72,Cashback,Yes,89000,public_transport,100,399,ntuc,899,799,399,cashback,uob_one,126.9633
73,Cashback,No,59000,caltex,899,799,sheng_shiong,0,100,999,cashback,posb_everyday_cashback,76.917
74,Cashback,No,69000,spc,899,999,sheng_shiong,0,799,0,cashback,uob_one,120.29329999999999
75,Cashback,Yes,49000,public_transport,0,100,sheng_shiong,100,799,100,cashback,uob_one,72.95
76,Cashback,No,59000,caltex,999,799,giant,799,799,999,cashback,uob_one,167.0
77,Cashback,Yes,89000,caltex,599,399,redmart,399,799,999,cashback,uob_one,120.29329999999999
78,Cashback,Yes,89000,esso,999,599,giant,999,899,399,cashback,uob_one,167.0
79,Cashback,No,59000,spc,799,899,redmart,599,399,100,cashback,uob_one,93.6133
80,Cashback,Yes,39000,spc,599,899,redmart,899,999,399,cashback,uob_one,133.6333
81,Cashback,No,59000,public_transport,0,999,ntuc,100,799,999,cashback,uob_one,120.29329999999999
82,Cashback,Yes,59000,public_transport,100,0,giant,399,100,100,cashback,uob_one,46.95
83,Cashback,No,79000,caltex,899,599,redmart,799,0,799,cashback,posb_everyday_cashback,80.0
84,Cashback,No,49000,shell,899,399,giant,100,799,799,cashback,uob_one,141.9766
85,Cashback,No,79000,public_transport,0,899,giant,999,599,100,cashback,uob_one,167.0
86,Cashback,Yes,79000,shell,799,100,ntuc,100,100,899,cashback,posb_everyday_cashback,80.0
87,Cashback,No,59000,spc,399,899,sheng_shiong,999,399,0,cashback,uob_one,93.6133
88,Cashback,No,49000,spc,399,100,redmart,0,100,0,cashback,uob_one,22.0
89,Cashback,Yes,49000,public_transport,399,599,ntuc,899,799,899,cashback,uob_one,146.9066
90,Cashback,Yes,39000,shell,399,899,cold_storage,399,100,899,cashback,uob_one,106.9466
91,Cashback,No,69000,public_transport,0,0,redmart,399,399,0,cashback,uob_one,36.95
92,Cashback,No,59000,public_transport,0,599,redmart,599,599,799,cashback,uob_one,106.9533
93,Cashback,No,69000,public_transport,100,599,sheng_shiong,899,100,0,cashback,posb_everyday_cashback,80.0
94,Cashback,Yes,79000,caltex,899,799,sheng_shiong,0,599,0,cashback,uob_one,106.9533
95,Cashback,No,89000,shell,899,899,sheng_shiong,799,100,899,cashback,uob_one,88.6833
96,Cashback,No,79000,spc,799,0,cold_storage,100,899,999,cashback,uob_one,133.6333
97,Cashback,Yes,79000,caltex,399,599,ntuc,999,399,799,cashback,uob_one,93.6133
98,Cashback,No,59000,shell,399,599,redmart,399,799,999,cashback,uob_one,126.9566
99,Cashback,No,69000,public_transport,399,799,sheng_shiong,899,999,899,cashback,uob_one,160.2466
100,Cashback,Yes,39000,esso,599,999,ntuc,399,0,0,cashback,sc_spree_card,39.94
101,Cashback,No,89000,esso,599,899,cold_storage,599,799,799,cashback,uob_one,160.2466
102,Cashback,No,49000,public_transport,100,399,ntuc,899,599,799,cashback,uob_one,113.6233
103,Cashback,No,89000,esso,899,999,ntuc,399,0,899,cashback,posb_everyday_cashback,78.81400000000001
104,Cashback,Yes,49000,spc,399,999,redmart,399,399,100,cashback,uob_one,93.6133
105,Cashback,No,59000,shell,799,599,giant,999,799,999,cashback,uob_one,167.0
106,Cashback,No,69000,spc,899,0,cold_storage,100,0,899,cashback,posb_everyday_cashback,47.947
107,Cashback,No,79000,esso,399,399,sheng_shiong,999,399,0,cashback,uob_one,93.6133
108,Cashback,Yes,69000,spc,899,799,redmart,899,0,799,cashback,posb_everyday_cashback,80.0
109,Cashback,Yes,69000,public_transport,399,799,giant,599,799,999,cashback,uob_one,167.0
110,Cashback,No,49000,esso,599,899,giant,599,899,0,cashback,uob_one,166.9166
111,Cashback,Yes,39000,public_transport,100,799,giant,799,100,899,cashback,uob_one,133.6333
112,Cashback,Yes,89000,public_transport,399,599,giant,599,599,999,cashback,uob_one,167.0
113,Cashback,No,49000,public_transport,100,0,giant,399,599,799,cashback,uob_one,87.9
114,Cashback,Yes,79000,shell,899,999,sheng_shiong,599,999,799,cashback,uob_one,148.64659999999998
115,Cashback,No,59000,shell,599,599,redmart,899,0,899,cashback,posb_everyday_cashback,80.0
116,Cashback,Yes,79000,spc,599,399,redmart,100,799,599,cashback,uob_one,120.29329999999999
117,Cashback,Yes,79000,esso,599,399,cold_storage,899,899,799,cashback,uob_one,167.0
118,Cashback,No,79000,esso,899,399,ntuc,899,599,599,cashback,uob_one,106.9533
119,Cashback,Yes,49000,esso,399,399,giant,999,399,399,cashback,uob_one,160.2466
120,Cashback,No,59000,esso,399,399,giant,100,999,399,cashback,uob_one,140.30329999999998
121,Cashback,Yes,39000,public_transport,399,799,ntuc,999,599,399,cashback,uob_one,133.5666
122,Cashback,No,89000,shell,799,100,giant,599,100,399,cashback,posb_everyday_cashback,80.0
123,Cashback,No,69000,caltex,899,0,cold_storage,399,999,999,cashback,uob_one,160.2466
124,Cashback,No,49000,caltex,999,999,cold_storage,599,599,799,cashback,uob_one,146.9066
125,Cashback,Yes,79000,shell,599,799,sheng_shiong,999,599,999,cashback,uob_one,116.9566
126,Cashback,Yes,69000,shell,399,799,redmart,599,399,0,cashback,uob_one,100.2766
127,Cashback,Yes,79000,esso,799,399,giant,599,399,599,cashback,uob_one,133.5666
128,Cashback,Yes,59000,shell,999,0,ntuc,899,100,599,cashback,uob_one,90.35329999999999
129,Cashback,No,89000,esso,899,100,redmart,999,599,999,cashback,uob_one,106.9533
130,Cashback,Yes,69000,caltex,999,100,sheng_shiong,0,399,899,cashback,uob_one,93.6133
131,Cashback,Yes,49000,public_transport,0,0,cold_storage,100,100,599,cashback,uob_one,27.0
132,Cashback,Yes,49000,caltex,399,399,redmart,0,799,999,cashback,uob_one,120.29329999999999
133,Cashback,No,79000,esso,999,999,cold_storage,799,0,999,cashback,uob_one,120.29329999999999
134,Cashback,No,59000,shell,999,999,ntuc,799,599,0,cashback,uob_one,123.6366
135,Cashback,Yes,89000,public_transport,100,799,giant,999,399,100,cashback,uob_one,166.9166
136,Cashback,No,79000,public_transport,0,599,sheng_shiong,399,0,0,cashback,posb_everyday_cashback,45.900000000000006
137,Cashback,No,49000,caltex,399,799,cold_storage,0,100,599,cashback,posb_everyday_cashback,55.417
138,Cashback,Yes,69000,shell,999,999,cold_storage,100,899,100,cashback,uob_one,150.3166
139,Cashback,Yes,59000,shell,799,0,redmart,899,599,599,cashback,uob_one,120.2966
140,Cashback,Yes,59000,public_transport,399,999,redmart,100,799,599,cashback,uob_one,146.9066
141,Cashback,No,59000,shell,399,599,sheng_shiong,0,0,799,cashback,posb_everyday_cashback,80.0
142,Cashback,No,79000,public_transport,0,899,ntuc,0,899,899,cashback,uob_one,126.9633
143,Cashback,Yes,39000,shell,399,100,sheng_shiong,899,999,999,cashback,uob_one,140.29659999999998
144,Cashback,Yes,69000,spc,999,899,ntuc,899,799,799,cashback,uob_one,120.29329999999999
145,Cashback,Yes,49000,public_transport,0,999,ntuc,599,999,399,cashback,uob_one,133.6333
146,Cashback,Yes,49000,caltex,799,899,ntuc,100,0,799,cashback,posb_everyday_cashback,69.617
147,Cashback,Yes,59000,spc,599,599,giant,599,799,799,cashback,uob_one,160.2466
148,Cashback,Yes,89000,shell,799,100,ntuc,999,599,899,cashback,uob_one,120.2966
149,Cashback,No,69000,esso,799,899,ntuc,399,599,999,cashback,uob_one,106.9533
150,Cashback,Yes,39000,esso,799,399,giant,899,100,999,cashback,uob_one,133.6333
151,Cashback,No,59000,esso,599,799,cold_storage,999,999,399,cashback,uob_one,167.0
152,Cashback,No,59000,spc,999,599,redmart,0,0,0,cashback,uob_one,33.0
153,Cashback,Yes,79000,esso,899,399,ntuc,599,399,0,cashback,uob_one,93.6133
154,Cashback,Yes,39000,caltex,999,0,redmart,599,799,599,cashback,uob_one,120.29329999999999
155,Cashback,Yes,39000,spc,899,799,giant,0,599,999,cashback,uob_one,106.9533
156,Cashback,No,49000,public_transport,399,999,cold_storage,899,599,399,cashback,uob_one,167.0
157,Cashback,No,79000,shell,999,0,cold_storage,799,899,899,cashback,uob_one,167.0
158,Cashback,No,69000,spc,399,100,ntuc,0,0,799,cashback,posb_everyday_cashback,44.147000000000006
159,Cashback,Yes,89000,caltex,799,0,redmart,399,899,100,cashback,uob_one,126.9633
160,Cashback,Yes,49000,esso,599,599,giant,799,599,899,cashback,uob_one,160.2466
161,Cashback,Yes,69000,shell,799,999,redmart,799,799,899,cashback,uob_one,133.6366
162,Cashback,Yes,89000,esso,399,599,redmart,599,100,799,cashback,posb_everyday_cashback,80.0
163,Cashback,No,69000,public_transport,0,899,redmart,0,0,0,cashback,posb_everyday_cashback,26.97
164,Cashback,Yes,49000,shell,999,0,cold_storage,100,399,100,cashback,posb_everyday_cashback,80.0
165,Cashback,Yes,89000,spc,799,399,ntuc,0,100,799,cashback,uob_one,73.67
166,Cashback,No,59000,shell,799,599,cold_storage,799,399,599,cashback,uob_one,160.24989999999997
167,Cashback,No,59000,esso,999,100,sheng_shiong,100,100,100,cashback,uob_one,38.0
168,Cashback,No,69000,esso,999,100,redmart,399,100,399,cashback,posb_everyday_cashback,46.197
169,Cashback,Yes,39000,shell,599,999,cold_storage,799,399,899,cashback,uob_one,156.9099
170,Cashback,Yes,59000,shell,999,599,giant,0,599,899,cashback,uob_one,123.6366
171,Cashback,Yes,89000,public_transport,0,399,ntuc,0,0,599,cashback,posb_everyday_cashback,41.92
172,Cashback,No,49000,spc,599,899,redmart,399,799,399,cashback,uob_one,120.29329999999999
173,Cashback,No,79000,shell,899,100,redmart,100,100,0,cashback,posb_everyday_cashback,80.0
174,Cashback,No,89000,esso,799,399,redmart,100,899,999,cashback,uob_one,126.9633
175,Cashback,Yes,79000,caltex,599,100,cold_storage,399,399,899,cashback,uob_one,120.22659999999999
176,Cashback,No,89000,public_transport,0,999,ntuc,399,599,0,cashback,uob_one,62.95
177,Cashback,Yes,49000,esso,399,0,redmart,899,100,599,cashback,posb_everyday_cashback,76.397
178,Cashback,Yes,49000,spc,899,399,giant,100,0,999,cashback,uob_one,73.67
179,Cashback,No,59000,public_transport,100,599,ntuc,799,399,899,cashback,uob_one,100.2833
180,Cashback,No,79000,public_transport,100,0,sheng_shiong,599,399,899,cashback,posb_everyday_cashback,80.0
181,Cashback,Yes,49000,shell,799,899,ntuc,799,0,0,cashback,uob_one,80.3433
182,Cashback,No,49000,esso,799,599,cold_storage,799,999,599,cashback,uob_one,167.0
183,Cashback,No,59000,caltex,799,100,sheng_shiong,399,599,100,cashback,uob_one,62.95
184,Cashback,No,59000,public_transport,399,799,cold_storage,399,0,0,cashback,uob_one,72.9
185,Cashback,No,79000,spc,599,999,redmart,100,899,0,cashback,uob_one,126.9633
186,Cashback,Yes,69000,public_transport,0,100,ntuc,599,399,100,cashback,uob_one,52.95
187,Cashback,Yes,69000,caltex,599,599,cold_storage,899,399,599,cashback,uob_one,153.57659999999998
188,Cashback,Yes,49000,public_transport,399,0,giant,999,999,899,cashback,uob_one,167.0
189,Cashback,No,69000,public_transport,100,799,redmart,100,399,0,cashback,uob_one,57.95
190,Cashback,No,49000,caltex,399,399,cold_storage,999,0,799,cashback,uob_one,133.6333
191,Cashback,Yes,89000,caltex,899,0,giant,599,100,999,cashback,uob_one,113.6233
192,Cashback,Yes,89000,spc,999,999,cold_storage,399,0,599,cashback,uob_one,93.6133
193,Cashback,Yes,39000,spc,999,0,cold_storage,0,999,0,cashback,uob_one,82.95
194,Cashback,Yes,39000,spc,799,0,cold_storage,599,399,999,cashback,uob_one,133.5666
195,Cashback,Yes,79000,esso,899,100,redmart,399,399,799,cashback,uob_one,93.6133
196,Cashback,No,69000,spc,899,799,ntuc,599,899,100,cashback,uob_one,126.9633
197,Cashback,No,69000,public_transport,100,799,sheng_shiong,799,999,100,cashback,uob_one,140.30329999999998
198,Cashback,No,79000,caltex,799,799,ntuc,399,100,899,cashback,uob_one,73.67
199,Cashback,Yes,89000,public_transport,0,899,sheng_shiong,100,899,899,cashback,uob_one,126.9633
200,Cashback,No,69000,caltex,799,599,ntuc,799,399,599,cashback,uob_one,93.6133
201,Cashback,No,89000,shell,899,399,ntuc,399,599,599,cashback,uob_one,121.9666
202,Cashback,No,49000,caltex,899,399,giant,999,599,100,cashback,uob_one,167.0
203,Cashback,Yes,59000,public_transport,399,899,cold_storage,100,399,599,cashback,uob_one,126.89659999999999
204,Cashback,Yes,89000,esso,899,899,cold_storage,399,599,0,cashback,uob_one,133.5666
205,Cashback,No,79000,caltex,899,399,redmart,899,599,399,cashback,uob_one,106.9533
206,Cashback,Yes,59000,public_transport,399,599,redmart,799,899,399,cashback,uob_one,153.57659999999998
207,Cashback,Yes,49000,caltex,799,899,sheng_shiong,599,999,999,cashback,uob_one,133.6333
208,Cashback,Yes,79000,caltex,799,799,cold_storage,599,0,599,cashback,uob_one,106.9533
209,Cashback,Yes,49000,spc,399,399,cold_storage,899,899,599,cashback,uob_one,167.0
210,Cashback,No,49000,esso,599,399,ntuc,999,399,999,cashback,uob_one,93.6133
211,Cashback,Yes,69000,spc,399,799,cold_storage,0,0,999,cashback,posb_everyday_cashback,75.117
212,Cashback,No,79000,shell,899,0,sheng_shiong,599,399,100,cashback,posb_everyday_cashback,80.0
213,Cashback,Yes,69000,public_transport,399,100,redmart,100,899,100,cashback,uob_one,97.9
214,Cashback,Yes,59000,shell,799,999,giant,899,799,899,cashback,uob_one,167.0
215,Cashback,No,79000,public_transport,399,899,ntuc,799,100,899,cashback,uob_one,100.2833
216,Cashback,No,89000,shell,799,999,sheng_shiong,899,0,399,cashback,uob_one,80.3433
217,Cashback,Yes,49000,shell,899,599,cold_storage,399,599,799,cashback,uob_one,148.5799
218,Cashback,No,89000,public_transport,399,799,redmart,799,0,0,cashback,posb_everyday_cashback,80.0
219,Cashback,No,79000,spc,899,399,sheng_shiong,999,100,0,cashback,posb_everyday_cashback,80.0
220,Cashback,No,59000,public_transport,0,100,sheng_shiong,399,599,0,cashback,uob_one,62.95
221,Cashback,No,89000,esso,899,899,redmart,999,899,799,cashback,uob_one,126.9633
222,Cashback,No,59000,esso,999,0,sheng_shiong,0,399,0,cashback,uob_one,52.95
223,Cashback,No,59000,caltex,999,100,giant,0,0,100,cashback,uob_one,33.0
224,Cashback,Yes,49000,caltex,799,799,cold_storage,599,799,399,cashback,uob_one,160.2466
225,Cashback,Yes,69000,shell,799,100,giant,999,599,899,cashback,uob_one,167.0
226,Cashback,No,49000,public_transport,100,100,ntuc,599,899,0,cashback,uob_one,82.95
227,Cashback,Yes,39000,public_transport,100,399,giant,799,799,399,cashback,uob_one,167.0
228,Cashback,Yes,79000,public_transport,100,0,ntuc,399,0,100,cashback,uob_one,22.0
229,Cashback,No,49000,spc,799,100,giant,0,799,100,cashback,uob_one,72.95
230,Cashback,Yes,49000,public_transport,399,799,redmart,999,999,899,cashback,uob_one,160.2466
231,Cashback,No,79000,caltex,399,899,sheng_shiong,399,999,899,cashback,uob_one,133.6333
232,Cashback,Yes,89000,spc,899,999,giant,0,799,0,cashback,uob_one,120.29329999999999
233,Cashback,No,89000,public_transport,399,100,redmart,999,799,399,cashback,uob_one,146.9066
234,Cashback,No,49000,esso,599,799,cold_storage,100,100,799,cashback,uob_one,80.34
235,Cashback,Yes,49000,shell,799,799,cold_storage,399,899,399,cashback,uob_one,166.91989999999998
236,Cashback,No,69000,shell,399,799,sheng_shiong,0,0,0,cashback,posb_everyday_cashback,63.870000000000005
237,Cashback,No,69000,caltex,399,799,giant,899,799,899,cashback,uob_one,167.0
238,Cashback,No,69000,spc,399,799,giant,799,0,599,cashback,uob_one,120.29329999999999
239,Cashback,No,29000,shell,999,599,sheng_shiong,599,899,100,cashback,not_eligible,0.0
240,Cashback,No,89000,public_transport,399,100,ntuc,999,999,0,cashback,uob_one,160.2466
241,Cashback,Yes,79000,spc,899,999,cold_storage,399,100,399,cashback,uob_one,100.2833
242,Cashback,No,49000,spc,999,999,sheng_shiong,399,599,999,cashback,uob_one,106.9533
243,Cashback,Yes,59000,caltex,799,799,cold_storage,399,599,0,cashback,uob_one,133.5666
244,Cashback,Yes,79000,public_transport,399,399,ntuc,0,599,0,cashback,uob_one,82.9
245,Cashback,Yes,29000,public_transport,399,399,sheng_shiong,100,999,599,cashback,not_eligible,0.0
246,Cashback,Yes,29000,shell,999,100,redmart,899,399,999,cashback,not_eligible,0.0
247,Cashback,Yes,39000,caltex,999,599,cold_storage,599,599,100,cashback,uob_one,146.9066
248,Cashback,No,89000,caltex,799,399,redmart,599,599,799,cashback,uob_one,106.9533
249,Cashback,No,49000,caltex,799,799,ntuc,0,799,100,cashback,uob_one,120.29329999999999
250,Cashback,No,59000,esso,799,799,redmart,799,899,399,cashback,uob_one,126.9633
251,Cashback,No,89000,esso,899,599,redmart,899,599,100,cashback,uob_one,106.9533
252,Cashback,Yes,79000,spc,599,799,giant,599,0,100,cashback,uob_one,106.9533
253,Cashback,No,49000,shell,899,899,redmart,799,899,899,cashback,uob_one,141.9766
254,Cashback,No,49000,public_transport,0,599,redmart,799,599,599,cashback,uob_one,106.9533
255,Cashback,Yes,29000,spc,999,399,redmart,799,599,399,cashback,not_eligible,0.0
256,Cashback,Yes,59000,caltex,799,999,redmart,599,799,599,cashback,uob_one,120.29329999999999
257,Cashback,Yes,39000,caltex,899,899,redmart,799,100,0,cashback,uob_one,73.67
258,Cashback,No,59000,esso,999,0,giant,100,999,999,cashback,uob_one,140.30329999999998
259,Cashback,Yes,29000,public_transport,399,999,cold_storage,100,999,599,cashback,not_eligible,0.0
260,Cashback,Yes,69000,esso,799,599,sheng_shiong,100,999,999,cashback,uob_one,133.6333
261,Cashback,Yes,89000,esso,999,599,sheng_shiong,599,799,100,cashback,uob_one,120.29329999999999
262,Cashback,No,49000,esso,799,100,giant,899,799,999,cashback,uob_one,167.0
263,Cashback,No,69000,shell,899,999,giant,899,399,0,cashback,uob_one,167.0
264,Cashback,No,49000,caltex,399,0,cold_storage,599,0,100,cashback,uob_one,62.95
265,Cashback,Yes,69000,spc,999,999,ntuc,0,0,100,cashback,uob_one,67.0
266,Cashback,No,79000,public_transport,399,999,ntuc,799,899,999,cashback,uob_one,153.57659999999998
267,Cashback,Yes,69000,caltex,399,100,sheng_shiong,799,799,399,cashback,uob_one,120.29329999999999
268,Cashback,Yes,49000,shell,799,999,redmart,599,399,899,cashback,uob_one,106.9566
269,Cashback,No,59000,esso,599,999,sheng_shiong,999,100,599,cashback,posb_everyday_cashback,80.0
270,Cashback,No,89000,esso,999,999,giant,399,599,999,cashback,uob_one,133.5666
271,Cashback,No,49000,public_transport,100,599,giant,599,399,100,cashback,uob_one,87.9
272,Cashback,No,89000,public_transport,399,0,cold_storage,899,399,799,cashback,uob_one,167.0
273,Cashback,No,69000,shell,799,0,sheng_shiong,599,399,399,cashback,uob_one,106.9566
274,Cashback,No,29000,esso,599,899,sheng_shiong,999,0,399,cashback,not_eligible,0.0
275,Cashback,Yes,89000,caltex,999,100,cold_storage,799,899,799,cashback,uob_one,167.0
276,Cashback,No,79000,esso,799,799,cold_storage,799,799,899,cashback,uob_one,167.0
277,Cashback,No,79000,spc,999,0,redmart,100,599,799,cashback,uob_one,106.9533
278,Cashback,Yes,59000,shell,999,399,cold_storage,899,0,0,cashback,uob_one,143.64659999999998
279,Cashback,No,79000,caltex,599,799,redmart,899,399,100,cashback,uob_one,93.6133
280,Cashback,Yes,49000,shell,399,999,sheng_shiong,599,100,599,cashback,uob_one,80.3333
281,Cashback,No,79000,caltex,999,899,giant,799,0,599,cashback,uob_one,120.29329999999999
282,Cashback,No,89000,public_transport,0,999,giant,999,100,899,cashback,uob_one,140.30329999999998
283,Cashback,Yes,39000,caltex,799,899,cold_storage,799,0,399,cashback,uob_one,120.29329999999999
284,Cashback,No,59000,caltex,399,0,giant,899,899,899,cashback,uob_one,167.0
285,Cashback,Yes,59000,shell,399,999,cold_storage,899,0,100,cashback,uob_one,133.6266
286,Cashback,Yes,79000,public_transport,100,399,cold_storage,0,999,0,cashback,uob_one,87.95
287,Cashback,Yes,69000,esso,999,399,giant,899,100,0,cashback,uob_one,133.6333
288,Cashback,Yes,79000,shell,999,100,cold_storage,599,100,899,cashback,uob_one,130.3066
289,Cashback,No,49000,caltex,799,799,cold_storage,799,899,999,cashback,uob_one,167.0
290,Cashback,Yes,69000,shell,999,0,ntuc,100,399,399,cashback,posb_everyday_cashback,80.0
291,Cashback,Yes,79000,caltex,999,399,cold_storage,399,999,100,cashback,uob_one,160.2466
292,Cashback,Yes,59000,spc,999,0,cold_storage,0,799,0,cashback,uob_one,72.95
293,Cashback,Yes,89000,caltex,999,999,giant,899,999,100,cashback,uob_one,167.0
294,Cashback,No,89000,shell,999,399,redmart,599,100,599,cashback,uob_one,90.35329999999999
295,Cashback,No,69000,spc,999,399,redmart,399,999,399,cashback,uob_one,133.6333
